name,owner,stargazerCount,created_at,time_since_created_at_in_seconds,pull_requests_accepted,releases_count,last_updated,current_date,time_since_last_update_in_seconds,primary_language,primary_language_mapping,total_issues,closed_issues,closed_issues_ratio
hosts,StevenBlack,26413,2012-04-12T20:22:50Z,390971917.836757,471,671,2024-09-01T23:32:05Z,2024-09-01 23:41:27.836757+00:00,562.836757,Python,1.0,1935,1850,0.9560723514211886
90DaysOfDevOps,MichaelCade,26368,2021-12-26T13:55:18Z,84707169.836757,356,2,2024-09-01T21:32:15Z,2024-09-01 23:41:27.836757+00:00,7752.836757,Shell,5.0,86,79,0.9186046511627907
bulletproof-react,alan2207,26367,2021-05-30T14:47:16Z,102848051.836757,58,0,2024-09-01T21:29:04Z,2024-09-01 23:41:27.836757+00:00,7943.836757,TypeScript,0.0,97,71,0.7319587628865979
ink,vadimdemedes,26360,2017-06-12T06:12:28Z,227986139.836757,206,52,2024-09-01T23:48:06Z,2024-09-01 23:41:27.836757+00:00,-398.163243,TypeScript,0.0,346,287,0.8294797687861272
k9s,derailed,26342,2019-01-25T18:46:02Z,176792125.836757,639,225,2024-09-01T23:27:43Z,2024-09-01 23:41:27.836757+00:00,824.836757,Go,8.0,1814,1322,0.7287761852260198
tokio,tokio-rs,26293,2016-09-09T22:31:36Z,251773791.836757,3305,122,2024-09-01T21:17:47Z,2024-09-01 23:41:27.836757+00:00,8620.836757,Rust,13.0,2281,2008,0.8803156510302499
plyr,sampotts,26291,2015-02-14T11:33:07Z,301320500.836757,384,88,2024-09-01T21:24:16Z,2024-09-01 23:41:27.836757+00:00,8231.836757,JavaScript,2.0,2079,1214,0.583934583934584
swagger-ui,swagger-api,26266,2011-07-15T22:56:39Z,414463488.836757,3155,346,2024-09-01T21:42:20Z,2024-09-01 23:41:27.836757+00:00,7147.836757,JavaScript,2.0,5477,4367,0.7973343071024284
dnSpy,dnSpy,26262,2015-07-01T16:05:10Z,289467377.836757,53,1,2024-09-01T21:32:15Z,2024-09-01 23:41:27.836757+00:00,7752.836757,C#,11.0,0,0,
react-virtualized,bvaughn,26246,2015-11-03T00:48:07Z,278722400.836757,453,5,2024-09-01T22:23:45Z,2024-09-01 23:41:27.836757+00:00,4662.836757,JavaScript,2.0,1198,871,0.7270450751252087
tuning_playbook,google-research,26244,2023-01-18T23:32:32Z,51149335.836757,14,0,2024-09-01T18:58:26Z,2024-09-01 23:41:27.836757+00:00,16981.836757,,,40,34,0.85
coder2gwy,coder2gwy,26232,2020-12-30T14:40:50Z,115894837.836757,2,0,2024-09-01T16:18:11Z,2024-09-01 23:41:27.836757+00:00,26596.836757,,,149,28,0.18791946308724833
stb,nothings,26223,2014-05-25T16:51:23Z,324197404.836757,283,0,2024-09-01T23:19:38Z,2024-09-01 23:41:27.836757+00:00,1309.836757,C,4.0,819,675,0.8241758241758241
Detectron,facebookresearch,26216,2017-10-05T17:32:00Z,218009367.836757,0,0,2024-09-01T16:56:49Z,2024-09-01 23:41:27.836757+00:00,24278.836757,Python,1.0,925,619,0.6691891891891892
nodemon,remy,26209,2010-10-03T12:50:52Z,439123835.836757,306,97,2024-09-01T17:59:01Z,2024-09-01 23:41:27.836757+00:00,20546.836757,JavaScript,2.0,1655,1648,0.9957703927492447
glances,nicolargo,26190,2011-12-04T08:49:15Z,402245532.836757,684,43,2024-09-01T21:00:40Z,2024-09-01 23:41:27.836757+00:00,9647.836757,Python,1.0,1886,1704,0.9034994697773064
UTM,utmapp,26164,2019-04-12T16:09:24Z,170148723.836757,237,113,2024-09-01T15:28:34Z,2024-09-01 23:41:27.836757+00:00,29573.836757,Swift,29.0,2969,2212,0.7450319973054901
miaosha,qiurunze123,26162,2018-09-14T04:36:24Z,188334303.836757,20,0,2024-09-01T12:10:16Z,2024-09-01 23:41:27.836757+00:00,41471.836757,Java,7.0,80,78,0.975
vagrant,hashicorp,26145,2010-01-21T08:34:27Z,461171220.836757,2695,122,2024-09-01T22:29:07Z,2024-09-01 23:41:27.836757+00:00,4340.836757,Ruby,26.0,9501,8838,0.9302178718029681
mindsdb,mindsdb,26131,2018-08-02T17:56:45Z,192001482.836757,4320,241,2024-09-01T20:48:01Z,2024-09-01 23:41:27.836757+00:00,10406.836757,Python,1.0,3887,3774,0.9709287368150245
fastai,fastai,26059,2017-09-09T17:43:36Z,220255071.836757,1680,54,2024-09-01T23:47:00Z,2024-09-01 23:41:27.836757+00:00,-332.163243,Jupyter Notebook,15.0,1796,1593,0.8869710467706013
Web,qianguyihao,26048,2017-01-03T11:44:33Z,241790214.836757,0,0,2024-09-01T14:49:53Z,2024-09-01 23:41:27.836757+00:00,31894.836757,,,204,151,0.7401960784313726
xgboost,dmlc,26044,2014-02-06T17:28:03Z,333526404.836757,4397,59,2024-09-01T21:36:19Z,2024-09-01 23:41:27.836757+00:00,7508.836757,C++,3.0,5263,4884,0.927987839635189
nprogress,rstacruz,26039,2013-08-20T13:58:02Z,348227005.836757,34,7,2024-09-01T18:13:38Z,2024-09-01 23:41:27.836757+00:00,19669.836757,JavaScript,2.0,155,52,0.33548387096774196
Tvlist-awesome-m3u-m3u8,imDazui,26037,2017-02-18T03:59:25Z,237843722.836757,1,0,2024-09-01T22:42:32Z,2024-09-01 23:41:27.836757+00:00,3535.836757,,,67,47,0.7014925373134329
the_silver_searcher,ggreer,26033,2011-11-19T19:50:47Z,403501840.836757,399,0,2024-09-01T20:56:29Z,2024-09-01 23:41:27.836757+00:00,9898.836757,C,4.0,840,412,0.49047619047619045
tinygrad,tinygrad,26030,2020-10-18T16:23:12Z,122195895.836757,3995,8,2024-09-01T22:51:59Z,2024-09-01 23:41:27.836757+00:00,2968.836757,Python,1.0,704,602,0.8551136363636364
mongo,mongodb,26028,2009-01-15T16:15:18Z,493197969.836757,125,0,2024-09-01T21:22:52Z,2024-09-01 23:41:27.836757+00:00,8315.836757,C++,3.0,0,0,
paper-reading,mli,25971,2021-10-22T06:34:51Z,90349596.836757,13,0,2024-09-01T15:54:12Z,2024-09-01 23:41:27.836757+00:00,28035.836757,,,0,0,
mantine,mantinedev,25963,2021-01-07T14:02:19Z,115205948.836757,1253,233,2024-09-01T22:15:15Z,2024-09-01 23:41:27.836757+00:00,5172.836757,TypeScript,0.0,2612,2599,0.9950229709035222
turborepo,vercel,25922,2021-10-05T17:37:11Z,91778656.836757,5188,394,2024-09-01T20:48:21Z,2024-09-01 23:41:27.836757+00:00,10386.836757,Rust,13.0,1718,1572,0.9150174621653085
redash,getredash,25867,2013-10-28T13:19:39Z,342267708.836757,3172,98,2024-09-01T20:13:28Z,2024-09-01 23:41:27.836757+00:00,12479.836757,Python,1.0,2487,1923,0.773220747889023
select2,select2,25865,2012-03-04T18:43:12Z,394347495.836757,711,29,2024-09-01T20:45:22Z,2024-09-01 23:41:27.836757+00:00,10565.836757,JavaScript,2.0,4809,4709,0.9792056560615513
DeepFaceLive,iperov,25851,2020-12-15T12:19:22Z,117199325.836757,13,35,2024-09-01T23:42:07Z,2024-09-01 23:41:27.836757+00:00,-39.163243,Python,1.0,144,143,0.9930555555555556
llama3,meta-llama,25845,2024-03-15T17:57:00Z,14708667.836757,24,0,2024-09-01T23:12:17Z,2024-09-01 23:41:27.836757+00:00,1750.836757,Python,1.0,230,97,0.4217391304347826
fastText,facebookresearch,25815,2016-07-16T13:38:42Z,256557765.836757,12,4,2024-09-01T14:58:34Z,2024-09-01 23:41:27.836757+00:00,31373.836757,HTML,10.0,1078,611,0.5667903525046383
lossless-cut,mifi,25807,2016-10-30T10:49:56Z,247409491.836757,178,97,2024-09-01T20:18:33Z,2024-09-01 23:41:27.836757+00:00,12174.836757,TypeScript,0.0,1423,1251,0.8791286015460296
fetch,JakeChampion,25800,2014-10-13T00:26:19Z,312074108.836757,197,56,2024-09-01T16:31:36Z,2024-09-01 23:41:27.836757+00:00,25791.836757,JavaScript,2.0,651,646,0.9923195084485407
full-stack-fastapi-template,fastapi,25796,2019-02-23T15:08:34Z,174299573.836757,311,8,2024-09-01T23:43:16Z,2024-09-01 23:41:27.836757+00:00,-108.163243,TypeScript,0.0,412,248,0.6019417475728155
cmder,cmderdev,25796,2013-07-09T07:44:22Z,351878225.836757,427,34,2024-09-01T17:34:53Z,2024-09-01 23:41:27.836757+00:00,21994.836757,C++,3.0,2268,2222,0.9797178130511464
